specObjID,ra,dec,z,class
7333029083993534464,0.00658971199999314,24.272809,-0.0002702979,STAR
6879286744182353920,0.00679525169999806,20.505394,1.490866,QSO
7316146358196039680,0.00682730699998046,30.519361,2.373299,QSO
8046853473742548992,0.00685764579998249,-8.3856469,0.1015665,GALAXY
1732895795692201984,0.0072570001,0.73145503,0.0814369,GALAXY
8046850175207665664,0.00735938660000102,-7.4859266,2.542303,QSO
6946961409339748352,0.00736736509998082,19.547276,0.09049753,GALAXY
6960498870539972608,0.00748019949998024,10.928594,0.6501217,GALAXY
844469497849997312,0.0075358492,14.454901,0.7078217,GALAXY
3179624424743659520,0.007551,27.205124,-5.802534E-05,STAR
6954850955494617088,0.00755810020001491,14.197389,3.711993,QSO
4746991186597310464,0.00757981189997281,0.74049727,0.5550893,GALAXY
4902262300113301504,0.00762155410001242,-2.8413353,0.6773351,QSO
4836977142728945664,0.00772004330002574,0.71926798,0.08213079,GALAXY
6954791306988810240,0.00772550009997985,14.024503,0.4803031,GALAXY
771282979711379456,0.0078329063,-0.34635792,-0.0002152527,STAR
1676511465835620352,0.007834,-0.724514,9.288509E-05,STAR
1732800413058492416,0.007886,-0.16345701,0.1257808,GALAXY
4746879861044998144,0.00806796950001853,-0.24097445,2.164559,QSO
3179629372545984512,0.0080947326,27.226535,-0.004019312,STAR
7919756526473637888,0.00817494199998237,-4.0487045,0.2945228,GALAXY
844550311954638848,0.0083286187,15.697181,0.08340041,GALAXY
8046852374230921216,0.00834351359998209,-8.3212656,0.3365318,GALAXY
3177385818012542976,0.008395,25.516998,-0.000139766,STAR
7333033482040045568,0.0085334798999952,23.502311,1.831323,QSO
7316156253800689664,0.00854718239997965,31.281041,0.5050442,GALAXY
8044620365509095424,0.00855479109998214,34.678682,1.576134,QSO
7918723810194026496,0.00865868940002201,-4.2554089,0.6740801,GALAXY
844551136588359680,0.0087588679,15.881756,0.02001684,GALAXY
6960496396638810112,0.00880992330002073,11.099251,0.3423344,GALAXY
6949162632105095168,0.00897712220000813,15.254641,1.710103,QSO
1676489750480971776,0.008978,-0.914498,0.191224,GALAXY
731967191674546176,0.0089809367,-9.5269541,0.4660518,GALAXY
7316145533562318848,0.00902436349997515,30.727865,-0.0001270706,STAR
6925427749407092736,0.0090446780000093,12.402366,0.3459142,GALAXY
3177368775582312448,0.009062,24.152489,-0.001216989,STAR
8044771823235821568,0.00914496730001702,36.105931,0.4911413,GALAXY
6960492548348112896,0.00918954659999827,11.696831,2.543471,QSO
7742965501752176640,0.00935119439998289,27.37427,-0.0005825527,STAR
6988698046079627264,0.00944852380001748,18.866224,0.5031282,GALAXY
435858533926332416,0.0094698525,0.62754517,0.248428,GALAXY
4970979028422553600,0.00957345739999482,5.2882663,0.169365,GALAXY
5106040563363934208,0.00963576660001308,6.2034984,0.5460415,GALAXY
6946934196426960896,0.0097076710999886,19.247789,0.2076445,QSO
4837027170508009472,0.00972751429998198,3.2421246,0.5345696,GALAXY
7745179368330817536,0.00981916120002779,22.110545,2.651057,QSO
